year,quarter,distance,fare_per_mile,itin_fare,itin_id,miles_flown,round_trip,total_covid_cases,total_covid_deaths,total_covid_tests_per_thousand,total_covid_vaccinations,oil_price_per_barrel,cumulative_inflation,inflation_adjusted_itin_fare,inflation_adjusted_fare_per_mile
2004,2,2546.7966666666666,0.2200282,372.52433333333335,152597949438.75,2528.032,0.7966666666666666,0.0,0.0,0.0,0.0,35.60333333333333,47.5348890375013,390.23223618210244,0.2304872160721211
2004,3,2566.5313333333334,0.20775349999999998,357.88033333333334,152629125073.21768,2548.258,0.7676666666666667,0.0,0.0,0.0,0.0,40.52333333333333,47.5348890375013,374.8921352670373,0.2176290395696525
2004,4,2507.771,0.20296883333333335,350.81,155439615463.71667,2492.8386666666665,0.8036666666666666,0.0,0.0,0.0,0.0,42.68333333333334,47.5348890375013,367.48571442324584,0.2126169343039044
2005,1,2526.8403333333335,0.20632129999999999,354.56,152569144671.41266,2514.0246666666667,0.768,0.0,0.0,0.0,0.0,46.24333333333333,44.85765234440957,370.4647292152339,0.21557638914664662
2005,2,2500.931,0.21272163333333333,360.152,159258504923.81366,2488.8933333333334,0.7813333333333333,0.0,0.0,0.0,0.0,50.78666666666667,44.85765234440957,376.3075732071438,0.22226382640753495
2005,3,2592.579333333333,0.2100974,363.70233333333334,159826010247.549,2577.5783333333334,0.752,0.0,0.0,0.0,0.0,59.98333333333333,44.85765234440957,380.01716615885056,0.2195218761276643
2005,4,2483.4926666666665,0.2182867666666667,365.6526666666667,161342146999.33966,2473.5513333333333,0.7833333333333333,0.0,0.0,0.0,0.0,56.553333333333335,44.85765234440957,382.05498686680625,0.22807859855718524
2006,1,2416.779666666667,0.2353284,379.17333333333335,155312603360.70233,2405.141,0.753,0.0,0.0,0.0,0.0,61.03,41.4649054989141,394.8957197677083,0.24508626986721063
2006,2,2436.7436666666667,0.24712486666666666,409.491,161927824600.90833,2425.3096666666665,0.748,0.0,0.0,0.0,0.0,68.31333333333333,41.4649054989141,426.4705056176558,0.2573718759094317
2006,3,2496.352,0.23341456666666666,392.33366666666666,161937012191.88034,2483.6066666666666,0.73,0.0,0.0,0.0,0.0,68.79333333333334,41.4649054989141,408.6017450790425,0.24309307961556995
2006,4,2472.3606666666665,0.21898363333333334,376.29133333333334,158786179103.34332,2460.731333333333,0.7453333333333333,0.0,0.0,0.0,0.0,59.01333333333332,41.4649054989141,391.8942179100604,0.2280637689953088
2007,1,2424.766666666667,0.2290154,380.493,157929926767.995,2413.3966666666665,0.73,0.0,0.0,0.0,0.0,57.22666666666667,38.23896139821003,395.04265713928913,0.2377727110401956
2007,2,2475.502,0.2201285666666667,382.77433333333335,162354181172.54767,2465.628,0.7396666666666667,0.0,0.0,0.0,0.0,66.13666666666667,38.23896139821003,397.4112262898923,0.2285460544300766
